#Cluster          RA        DEC      R_Sun    DR     R_GC    DR   N_RV   N_PM    Mass         DM         V     DV   M/L_V   DM/L    rc     rh,l     rh,m     rt    rho_c  rho_h,m   sig_c   sig_h,m lg Trh  lg Mini  T_Diss  M_Low  M_High       MF          sig0    vesc    etac   etah
# Name                               [kpc]  [kpc]   [kpc]  [kpc]                [Msun]      [Msun]        [mag]      [Msun/Lsun]   [pc]    [pc]     [pc]    [pc]  [Ms/pc3][Ms/pc3] [Ms/pc2] [Ms/pc2] [yr]   [Msun]   [Gyr]  [Msun]  [Msun]      Slope      [km/s]  [km/s]               
#  (1)            (2)       (3)       (4)     (5)    (6)     (7)  (8)    (9)     (10)        (11)      (12)   (13)   (14)   (15)   (16)    (17)     (18)    (19)     (20)    (21)    (22)    (23)    (24)    (25)     (26)   (27)    (28)    (30)    (32)    (33)    (34)    (35)   (36)
NGC_6218       251.80907   -1.94853   5.11   0.05    4.57    0.02  3116   4147  1.06e+05   1.89e+03    7.09   0.04   1.89   0.08   1.16    2.72     4.08    45.62    3.16    2.27    3.63    3.10    8.93    5.69      8.5   0.20    0.78   -0.31 +- 0.15     4.7    17.6   -0.35  -0.13
NGC_6229       251.74525   47.52780  30.11   0.47   29.45    0.44    20      0  2.47e+05   8.12e+04    9.33   0.05   1.67   0.55   1.11    3.12     4.80   191.54    3.56    2.44    3.99    3.33    9.27    5.91     16.2   0.65    0.79   -1.47 +- 0.48     6.7    25.3   -0.34  -0.11    
FSR_1735       253.04417  -47.05806   9.08   0.53    3.25    0.22     6     90  9.98e+04   1.98e+04   14.38   0.11   2.04   0.46   0.52    2.08     2.69    35.32    4.04    2.79    4.17    3.42    8.56    5.83      4.4   0.65    0.79   -0.03 +- 0.31     5.8    22.2   -0.34  -0.10    
NGC_6235       253.35568  -22.17745  11.94   0.38    4.42    0.33    21    120  9.60e+04   1.80e+04    9.62   0.04   2.30   0.44   1.16    3.36     5.07    36.93    3.04    1.94    3.51    2.87    9.12    5.47     14.3  99.90   99.90   -0.59 +- 0.30     4.1    15.5   -0.36  -0.11    
NGC_6254       254.28772   -4.10031   5.07   0.06    4.35    0.03  5446   2796  1.89e+05   2.96e+03    6.61   0.04   1.71   0.07   0.74    2.99     4.75    53.76    3.79    2.32    4.07    3.21    9.22    5.83     12.8   0.22    0.78   -0.60 +- 0.13     6.2    23.9   -0.38  -0.12
NGC_6256       254.88611  -37.12097   7.24   0.29    1.94    0.11    14   1838  1.11e+05   2.78e+03   10.56   0.11   1.87   0.20   0.07    2.94     4.21    27.28    6.18    2.25    5.19    3.08    9.02    5.89      4.6   0.46    0.79   -1.12 +- 0.19     5.4    19.8   -0.35  -0.12    
Pal_15         254.96260   -0.53900  44.10   1.14   37.28    1.10     5      0  5.25e+04   1.04e+04   13.69   0.05   3.62   0.73  14.85   20.01    27.01   104.51   -0.17   -0.50    1.40    1.18   10.16    5.62      4.6   0.47    0.78   -1.41 +- 0.16     1.3     4.3   -0.14  -0.04    
NGC_6266       255.30415  -30.11339   6.03   0.09    2.46    0.07  6899    330  5.81e+05   4.09e+03    6.60   0.06   2.15   0.12   0.23    1.74     2.91    51.41    5.93    3.46    5.38    4.12    9.07    6.26     17.4   0.53    0.81   -1.14 +- 0.19    14.8    59.3   -0.38  -0.10
NGC_6273       255.65749  -26.26797   8.34   0.16    1.43    0.03   306    671  7.19e+05   3.67e+04    6.88   0.04   2.32   0.15   0.99    3.16     4.70    39.68    4.12    2.92    4.51    3.80    9.47    6.30     24.3   0.43    0.76   -1.33 +- 0.20    11.6    44.8   -0.36  -0.09
NGC_6284       256.12011  -24.76480  14.21   0.42    6.32    0.40    39     62  1.74e+05   2.93e+04    8.99   0.08   1.79   0.33   0.27    2.94     4.04    73.28    4.77    2.49    4.60    3.30    9.03    5.92      7.3   0.43    0.82   -0.05 +- 0.16     6.8    27.6   -0.38  -0.10    
